,LOCATION,TIME,Value
0,AUS,2000-Q1,6.650708
1,AUS,2000-Q2,6.3020830000000005
2,AUS,2000-Q3,5.989491
3,AUS,2000-Q4,6.1715599999999995
4,AUS,2001-Q1,6.366835
5,AUS,2001-Q2,6.869636999999999
6,AUS,2001-Q3,6.867266000000001
7,AUS,2001-Q4,6.979412
8,AUS,2002-Q1,6.626871
9,AUS,2002-Q2,6.4049760000000004
10,AUS,2002-Q3,6.279915
11,AUS,2002-Q4,6.15741
12,AUS,2003-Q1,6.055958
13,AUS,2003-Q2,6.051594000000001
14,AUS,2003-Q3,5.9065650000000005
15,AUS,2003-Q4,5.7085669999999995
16,AUS,2004-Q1,5.537433999999999
17,AUS,2004-Q2,5.436225
18,AUS,2004-Q3,5.478689
19,AUS,2004-Q4,5.117726
20,AUS,2005-Q1,5.1073580000000005
21,AUS,2005-Q2,5.0577559999999995
22,AUS,2005-Q3,4.957692
23,AUS,2005-Q4,5.007709999999999
24,AUS,2006-Q1,5.045244
25,AUS,2006-Q2,4.858089
26,AUS,2006-Q3,4.677131
27,AUS,2006-Q4,4.515551
28,AUS,2007-Q1,4.550601
29,AUS,2007-Q2,4.325621
30,AUS,2007-Q3,4.253458
31,AUS,2007-Q4,4.3540209999999995
32,AUS,2008-Q1,4.087124
33,AUS,2008-Q2,4.25937
34,AUS,2008-Q3,4.182842
35,AUS,2008-Q4,4.441281
36,AUS,2009-Q1,5.309744
37,AUS,2009-Q2,5.730017
38,AUS,2009-Q3,5.678883
39,AUS,2009-Q4,5.557857
40,AUS,2010-Q1,5.332538
41,AUS,2010-Q2,5.291588
42,AUS,2010-Q3,5.120329
43,AUS,2010-Q4,5.090347
44,AUS,2011-Q1,4.971769
45,AUS,2011-Q2,4.963495
46,AUS,2011-Q3,5.18888
47,AUS,2011-Q4,5.205238
48,AUS,2012-Q1,5.146833999999999
49,AUS,2012-Q2,5.1193610000000005
50,AUS,2012-Q3,5.269537000000001
51,AUS,2012-Q4,5.36747
52,AUS,2013-Q1,5.482393
53,AUS,2013-Q2,5.630737
54,AUS,2013-Q3,5.717954
55,AUS,2013-Q4,5.842188
56,AUS,2014-Q1,5.898409
57,AUS,2014-Q2,5.926241
58,AUS,2014-Q3,6.160758
59,AUS,2014-Q4,6.2572790000000005
60,AUS,2015-Q1,6.183133
61,AUS,2015-Q2,6.016308
62,AUS,2015-Q3,6.171675
63,AUS,2015-Q4,5.840145
64,AUS,2016-Q1,5.779163
65,AUS,2016-Q2,5.686433
66,AUS,2016-Q3,5.646031
67,AUS,2016-Q4,5.725965
68,AUS,2017-Q1,5.786862999999999
69,AUS,2017-Q2,5.587657
70,AUS,2017-Q3,5.513017
71,AUS,2017-Q4,5.4639489999999995
72,AUS,2018-Q1,5.521843
73,AUS,2018-Q2,5.419763
74,AUS,2018-Q3,5.182827
75,AUS,2018-Q4,5.036932
76,AUS,2019-Q1,5.025599
77,AUS,2019-Q2,5.2298160000000005
78,AUS,2019-Q3,5.23174
79,AUS,2019-Q4,5.164823999999999
80,AUS,2020-Q1,5.1904449999999995
81,AUS,2020-Q2,6.956032
82,AUT,2000-Q1,4.233333
83,AUT,2000-Q2,3.7
84,AUT,2000-Q3,3.833333
85,AUT,2000-Q4,3.766667
86,AUT,2001-Q1,3.6333330000000004
87,AUT,2001-Q2,4.0
88,AUT,2001-Q3,4.1
89,AUT,2001-Q4,4.3
90,AUT,2002-Q1,4.5
91,AUT,2002-Q2,4.233333
92,AUT,2002-Q3,4.4
93,AUT,2002-Q4,4.433333
94,AUT,2003-Q1,4.533333
95,AUT,2003-Q2,4.8
96,AUT,2003-Q3,4.8
97,AUT,2003-Q4,5.033333
98,AUT,2004-Q1,5.633333
99,AUT,2004-Q2,5.366667
100,AUT,2004-Q3,5.466667
101,AUT,2004-Q4,5.5
102,AUT,2005-Q1,5.433333
103,AUT,2005-Q2,5.733333
104,AUT,2005-Q3,5.7
